Tarih,Boy,Kilo,Beden,Yorum,Ürün Adı
14 Haziran 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 4XL,"Çok güzel ve rahat ayrıca kurtarıcı bir parça, alın aldırın",Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
09 Ağustos 2023,Boy: 175cm,Kilo: 90kg,Bilgi mevcut değil,Ürün güzel 1.75 boy 90kg 2XL Aldım ama XL olurmuş bol oldu yanlar ufak terzi görecek kumaşı çok ince olduğu için anında kırışma oluyor onun dışında hoş kurtarıcı bir elbise kuşağı belimden iki tur döndürüp bağlanıyor beli ince olmayanları görseldeki gibi ince göstermez diye düşünüyorum,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
29 Ağustos 2023,Boy: 171cm,Kilo: 75kg,Beden: 3XL,elbise güzel beğendim günlük rahat. biraz salaş olsun dyenler bir beden büyük alabilir.,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
11 Ağustos 2023,Boy: 170cm,Kilo: 93kg,Bilgi mevcut değil,Elbisemi çok beğendim harika tam istediğim gibi oldu teşekkürler curvee☺️☺️,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
05 Ağustos 2023,Boy: 158cm,Kilo: 78kg,Bilgi mevcut değil,iki tarafindada yirtmaci olduğunu sanmışdım basenin alt tarafları yumurta gibi duruyodu terzide yapdirdim güzel oldu,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
21 Temmuz 2023,Boy: 161cm,Kilo: 94kg,Bilgi mevcut değil,Tam bedeninizi alın omuzlarım geniş olduğu için bende potluk yapmadı göbeği ve kalçayı gizliyor fazlaca rahat bir elbise,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
06 Temmuz 2023,Boy: 165cm,Kilo: 100kg,Bilgi mevcut değil,bayıldım muhteşem ❤️,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
16 Haziran 2023,Boy: 167cm,Kilo: 83kg,Bilgi mevcut değil,ben çok beğendim,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
15 Haziran 2023,Bilgi mevcut değil,Bilgi mevcut değil,Bilgi mevcut değil,çok hızlı elime ulaştı aynısı geldi birebir çok beğendim çok teşekkür ederim ❤️,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
15 Haziran 2023,Boy: 168cm,Kilo: 100kg,Bilgi mevcut değil,Harikaaaaa bence butun büyük bedenler almalı çok güzelll,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
15 Haziran 2023,Boy: 175cm,Kilo: 92kg,Bilgi mevcut değil,çok rahat ve şık,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
07 Haziran 2023,Boy: 168cm,Kilo: 110kg,Bilgi mevcut değil,ba yıl dım kurtarıcı bir ürün 1 beden küçük alınabilirmiş yırtmacı diz kapağından biraz yukarıda belirtmek istedim,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
22 Mayıs 2023,Boy: 167cm,Kilo: 95kg,Bilgi mevcut değil,Elbise mük arkadaşlar 167 boy 95 kg,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
21 Ekim 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 2XL,gaza geldim bir beden buyuk aldim. 165 boy 85 kiloyum 2 xl aldim ama xl daha guzel dururmus. asiri rahat ve guzek bir elbise degisim yapmiyolar baska bir sey yok :),Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
05 Ekim 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 2XL,ürün gerçekten güzel sanki üzerinde yokmuş gibi rahat efil efil tam yazlık bi elbise boyum 162 kilom 92 93 arası göbekli biri olmama rağmen gayet beğendim ben çok rahat rahatlıkla sipariş verebilirsiniz ben 44 beden 2xl sipariş ettim daha bol salaş olsun istiyorsanız bir beden büyük verebilirsiniz,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
04 Ekim 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 2XL,Çok rahat şık bir elbise kendi bedeninizi alabilirsiniz.,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
23 Eylül 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 2XL,çok beğendim rahat kendi bedeninizi alın,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
22 Eylül 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 2XL,"Rahat, siyahı güzel, 46 beden 80kg tam oldu.",Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
19 Eylül 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: XL,muhteşem bir elbise tam beden alabilirsiniz.Olduğundan daha zayıf gösteriyor oldukça rahat bir elbise,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
13 Eylül 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: XL,Elbise çok rahat ve şık bir elbise hemen giy çık elbise kaliteli ve güzel.,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
13 Eylül 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: XL,ürün beklediğimden güzel oldu tam bedeninizi alabilirsiniz vücudu saran bir kumaş bol olduğunda güzel gözükmeyebilir.,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
13 Eylül 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 3XL,Ürün çok güzel ve giy çık ürün. Boyum 170 basen çevrem 128 cm 3xl-46 beden aldım tam oldu ne sıktı ne bol kaldı kumaşı güzel yaz sıcaklarında terletmez,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
08 Eylül 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 2XL,çok güzel bir elbise 1 beden büyük alınmalı,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
17 Ağustos 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: XL,elbise çok kaliteli değil ama çok şık bu fiyatada kalitesinin böyle olması çok normal ben beğendim teşekkür ederim,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
11 Ağustos 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 2XL,sevdim güzel bi elbise,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
10 Ağustos 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: XL,Çok şık çok rahat bir elbise 1.63 boy 75 kiloyum XL gayet iyi oldu,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
29 Temmuz 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 3XL,İnanılmaz rahat bir elbise. kendi bedeniniz neyse o alınmalı,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
14 Temmuz 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 4XL,elbise çok güzel,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
14 Temmuz 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 2XL,Çok güzel bir elbise oldukçada rahat 1.67 boy 82 kilo 2xl çok güzel oldu fakat keşke farklı renkleride olsa millada antrasit indigo gibi seçenekleri var curve olarakda bu tarz renk seçenekleri yapsanız keşke bu kısmı üzücü😔,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
02 Temmuz 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 2XL,165 cm 90 kilo olarak 2XL sipariş verdim ve tam oldu. Boyu da uzun gelmedi. Çok şık ve rahat bir elbise.,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
14 Haziran 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 4XL,"Çok güzel ve rahat ayrıca kurtarıcı bir parça, alın aldırın",Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
02 Haziran 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 4XL,Harika harika harika bedenini büyük söylemişim ama hiç sorun değil salaş durdu mükemmel olduu 🖤,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
31 Mayıs 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 3XL,"Çok teşekkür ederim, güzel bir elbise. Annem için hediye almıştım, çok yakıştı. Midesi çıkmasın isteyenler bir beden büyük tercih edebilir.",Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
21 Mayıs 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 2XL,güzel ve rahat bir elbise göğüs altındaki kemer ayrı bir hata katıyor,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
23 Nisan 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 2XL,Çok rahat ve şık bir elbise teşekkürler,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
23 Nisan 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: XL,"1.60 boy 70 kilo xl aldım üstüme tam oturdu, harika bir elbise.",Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
15 Nisan 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 2XL,"Göründüğü gibi, neyse o❤️ iyi ki bu markayı çıkarmışsın Trendyol.",Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
13 Nisan 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 4XL,bayıldım çok hoş elbise penyesi güzel,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
22 Mart 2022,Bilgi mevcut değil,Bilgi mevcut değil,Beden: 3XL,"Yorumlarda bahsedildiği gibi kumaşı penye esneklik bir tişört kadar diyebilirim ekstra bir likra elastan içermiyor. Vücuda oturuyor. Ben 1 beden büyük almama rağmen oturdu yani üstüme. Tek anlayamadığım için kuşak önden geliyor çapraz şekilde arkaya çevirip tekrar öne getirip bağlıyorsunuz ama bunu 46 beden birine göre çok kısa yapmışlar yani biraz
Devamını Oku",Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
13 Haziran 2024,Boy: 162cm,Kilo: 90kg,Beden: 2XL,evin hizmetlisine benzedim boyum da kısa zaten hiç olmadı,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
04 Haziran 2024,Boy: 180cm,Kilo: 95kg,Beden: 2XL,beli ortaya çıkartan çok güzel bir elbise içine korse tarzında bir toparlayıcıyla tabii ki daha düzgün olacaktır tam bedeninizi almalısınız ben 2xl aldım,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
25 Nisan 2024,Boy: 163cm,Kilo: 78kg,Beden: 2XL,arkadaşlar mankenle aynı ölçülere sahip olduğum için XXL siparis verdim ve o kadar. büyük oldu ki keşke l söyleseydim ancak olurdu galiba kesinlikle küçük beden alın terziye yaptırma ücreti verdim birde geri iadeyle ugrasmayim diye,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
03 Nisan 2024,Boy: 165cm,Kilo: 75kg,Beden: XL,81 kg önce XXL aldım üst kismi geniş bol durdu iade edip xl aldım gayet güzel oldu fiyatida elbise için ideal güzel beğendim hızlı kargo teşekkür ederim trenyol😉ama lütfen 2 günde fiyat yükseltmeyin neden böyle yapılıyor anlamış değilim kargo ucretide elit olmayan musteriye ait,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
10 Kasım 2023,Bilgi mevcut değil,Bilgi mevcut değil,Beden: XL,efsane elbıse yazın üstümden çıkarmadım yrd ekleyeceğim bunu kumasıda gayet iyi,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
25 Eylül 2023,Boy: 162cm,Kilo: 70kg,Beden: 2XL,Çok güzel bir elbise büyük beden için kurtarıcı bir ürün,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
14 Eylül 2023,Boy: 173cm,Kilo: 84kg,Beden: 2XL,173 84 kiloyum 2xl aldım büyük geldi. Modelini falan da beğenemedim zaten basit duruyo iade ettim.,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
31 Ağustos 2023,Boy: 167cm,Kilo: 75kg,Beden: 2XL,Çok rahat penye elbıse.,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
29 Ağustos 2023,Boy: 171cm,Kilo: 90kg,Beden: 3XL,Çok rahat giy çık,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
25 Ağustos 2023,Boy: 172cm,Kilo: 110kg,Beden: 3XL,"tam oldu bana dokusu yeri çok güzel hafif, yazlık çok kurtarıcı bir elbise 💖",Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
25 Ağustos 2023,Boy: 165cm,Kilo: 75kg,Beden: XL,çok rahat çok güzel çok begendim keşke L beden olsaydi daha güzel olurdu ama xl de iyi,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
11 Ağustos 2023,Boy: 158cm,Kilo: 59kg,Bilgi mevcut değil,Modelini beğenmedim iade ettim,Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640
